88,76
75,69
59,54
3,3
90,78
3,3
75,69
3,3
3,3
88,76
3,3
75,69
3,3
66,62
68,81
59,54
3,3
75,69
96,83
88,76
59,54
75,69
75,69
3,3
100,87
101,88
88,76
101,88
3,3
88,76
59,54
3,3
3,3
88,76
3,3
88,76
59,54
3,3
50,72
88,76
3,3
88,76
50,72
3,3
88,76
3,3
103,89
104,90
104,90
88,76
100,87
88,76
105,91
75,69
88,76
59,54
106,75
75,69
88,76
107,92
3,3
88,76
3,3
75,69
75,69
108,94
3,3
107,92
3,3
88,76
109,25
3,3
75,69
75,69
3,3
106,75
88,76
3,3
110,75
3,3
111,95
104,90
111,95
3,3
3,3
88,76
75,69
108,94
106,75
59,54
76,62
76,62
75,69
75,69
112,70
106,75
75,69
88,76
75,69
106,75
113,62
75,69
88,76
3,3
3,3
88,76
88,76
88,76
3,3
115,98
3,3
116,56
88,76
76,62
117,99
76,62
117,99
88,76
106,75
118,100
3,3
88,76
78,101
78,101
106,75
88,76
85,74
78,101
3,3
27,27
116,56
27,27
88,76
117,99
6,6
67,94
27,27
88,76
88,76
88,76
118,100
88,76
50,72
120,34
88,76
121,70
3,3
118,100
12,11
50,72
123,104
118,100
59,54
88,76
125,98
123,104
67,68
88,76
126,106
66,62
66,62
12,11
3,3
127,107
72,108
128,75
3,3
116,56
76,62
130,75
3,3
59,54
131,110
76,62
39,111
3,3
132,112
50,72
3,3
134,113
118,100
22,114
134,113
118,100
3,3
59,54
135,51
135,51
118,100
134,113
3,3
134,113
136,115
137,114
3,3
138,56
118,100
127,107
139,55
50,72
140,114
141,116
50,72
59,54
3,3
118,100
50,72
76,62
95,109
50,72
3,3
76,62
3,3
137,114
3,3
137,114
12,11
3,3
3,3
95,34
144,117
59,54
59,54
145,56
3,3
145,56
127,107
12,11
146,51
147,118
146,51
149,56
149,56
145,56
145,56
136,115
149,56
120,34
140,114
3,3
140,114
3,3
150,88
140,114
118,100
78,101
145,56
12,11
3,3
152,34
3,3
66,62
68,72
6,6
12,11
154,34
3,3
66,62
156,119
118,100
12,11
157,64
158,121
81,29
81,29
3,3
106,75
159,123
3,3
159,123
3,3
76,62
106,75
59,54
84,34
118,100
3,3
160,89
3,3
157,64
12,11
3,3
157,64
63,124
161,87
157,64
161,87
59,54
162,125
12,11
3,3
163,56
3,3
165,34
3,3
3,3
166,127
106,75
159,123
3,3
167,128
3,3
3,3
12,11
159,123
170,33
134,113
171,22
172,131
3,3
76,100
157,64
171,22
3,3
170,33
173,132
3,3
106,75
3,3
157,64
157,64
12,11
112,70
176,75
157,64
3,3
147,118
157,64
106,75
159,123
157,64
3,3
159,123
112,70
3,3
12,11
112,70
171,22
177,134
3,3
3,3
157,64
3,3
124,137
12,11
3,3
180,138
112,70
181,90
106,75
123,104
112,70
3,3
134,113
134,113
182,139
157,64
123,104
3,3
157,64
3,3
112,70
183,140
123,104
184,141
157,64
123,104
183,140
112,70
183,140
106,75
157,64
134,113
159,123
112,70
112,70
106,75
112,70
187,34
63,144
134,113
134,113
188,114
134,113
189,46
134,113
188,114
134,113
189,46
112,70
76,62
190,37
76,62
188,114
76,62
75,69
112,70
182,139
112,70
157,64
189,46
182,139
193,146
195,147
95,66
76,62
196,33
198,51
199,142
200,149
201,34
202,119
196,33
106,75
198,114
196,33
199,142
169,150
157,64
206,153
106,75
207,67
208,154
210,156
195,157
211,51
211,51
210,156
212,158
213,139
214,159
215,160
61,56
210,156
33,33
212,158
216,161
217,61
218,162
216,161
212,158
219,163
220,164
221,75
216,161
182,139
59,54
220,164
223,160
216,161
182,139
224,166
6,6
182,139
76,62
182,139
225,167
182,139
182,139
182,139
226,168
182,139
182,139
227,93
228,91
228,91
6,6
227,93
76,115
216,161
228,91
229,59
22,46
227,93
216,161
76,115
220,34
212,158
228,91
220,34
228,91
76,115
227,93
228,91
231,58
228,91
214,159
214,159
75,170
232,171
233,172
76,115
214,159
76,62
205,176
235,8
214,159
212,158
236,177
51,179
214,159
51,179
214,159
238,88
6,6
6,6
168,181
214,159
239,182
214,159
240,183
241,75
240,183
75,69
232,171
242,184
243,149
210,156
244,106
245,185
75,69
246,20
244,106
75,69
232,171
245,185
76,100
210,156
233,112
210,156
17,147
233,158
232,171
88,76
6,6
240,183
76,100
232,171
240,183
220,34
248,188
232,171
240,183
6,6
250,189
251,157
252,190
250,189
252,190
210,156
220,164
240,183
210,156
182,139
210,156
254,192
234,127
117,99
234,127
117,99
234,127
233,193
210,156
254,192
22,15
240,183
259,197
260,84
210,156
168,181
39,198
40,199
39,198
168,181
240,183
233,201
214,159
240,183
6,6
262,75
240,183
240,183
214,159
214,159
263,143
264,202
6,6
199,203
265,39
168,181
266,127
199,203
17,91
267,185
266,127
266,127
269,84
266,127
270,205
266,127
240,183
266,127
266,127
271,91
266,127
199,162
272,104
73,206
273,172
273,172
274,138
199,162
266,127
266,127
199,162
273,172
73,207
73,177
275,208
171,22
264,202
276,206
277,91
276,206
276,206
276,206
12,11
276,206
276,206
199,162
199,162
276,206
276,206
276,206
218,162
273,172
276,206
278,210
278,210
279,140
280,200
276,206
280,200
278,210
280,200
273,172
225,167
225,167
276,206
106,75
276,206
277,91
254,128
220,34
273,172
68,123
179,212
283,213
