source,target
424,1135125
424,218666
424,47684
434,267003
504,1102364
504,1112650
504,506
504,89416
506,1102364
506,1106546
506,89416
906,1103979
906,1105344
906,1114352
906,1136397
906,1140040
906,34355
906,910
910,1104379
910,1105344
910,1105530
910,1108834
910,1110520
910,1114118
910,1116569
910,1118848
910,1120858
910,1122460
910,1126044
910,1129111
910,1135137
910,1140040
910,1152194
910,12439
910,12946
910,131042
910,13136
910,160705
910,227286
910,242637
910,31043
910,340075
910,340078
910,34355
910,35905
910,42847
910,436796
910,48550
910,5462
910,58552
910,5869
910,636511
910,67292
910,675649
910,684372
910,94953
1213,1154525
1213,409725
1213,8766
1272,1102625
1272,1120962
1272,112378
1272,1123867
1272,1128256
1272,1135125
1272,1135358
1272,18615
1272,20593
1272,27230
1272,30895
1272,30901
1272,444240
1272,520471
1272,52835
1272,552469
1272,560936
1272,591016
1272,636098
1272,65653
1272,6917
1272,6923
1272,85452
1272,85688
1272,93923
1272,97892
1365,1102407
1365,1105062
1365,1106287
1365,1108050
1365,1110494
1365,1110998
1365,1113995
1365,1114153
1365,1114352
1365,1114388
1365,1114605
1365,1117653
1365,1119140
1365,1120211
1365,1120866
1365,1128839
1365,1129443
1365,1131647
1365,1131745
1365,1131748
1365,1132922
1365,1132968
1365,1135137
1365,1135368
1365,1136442
1365,1152143
1365,1152821
1365,1154169
1365,120084
1365,139865
1365,157401
1365,171225
1365,184918
1365,188318
1365,22835
1365,23448
1365,23502
1365,237521
1365,26850
1365,330148
1365,340075
1365,39904
1365,436796
1365,49482
1365,560936
1365,562123
1365,649731
1365,69392
1365,7276
1365,7297
1365,77758
1365,83826
1365,853150
1365,90888
1365,93555
1365,948299
1365,948846
1365,949318
1365,949511
1365,950052
1365,950305
1717,1115291
1717,1116336
1717,1135108
1717,733167
1786,35797
1997,1102442
1997,1108551
1997,1109439
1997,1109542
1997,129897
1997,154982
1997,3233
1997,49811
1997,7032
1999,1102442
1999,1123068
1999,1131471
1999,39126
1999,6771
2440,1000012
2440,1061127
2440,1106388
2440,1107095
2440,1108551
2440,1110426
2440,1117786
2440,1119295
2440,1120650
2440,1127619
2440,1153254
2440,151430
2440,18615
2440,212777
2440,23546
2440,27230
2440,49811
2440,49843
2440,49844
2440,49847
2440,582343
2440,591016
2440,591017
2440,6917
2440,6923
2440,72908
2653,102406
2653,107177
2653,1104055
2653,1116268
2653,1116842
2653,1119751
2653,1152075
2653,167656
2653,175291
2653,197783
2653,350362
2653,59045
2654,1104851
2654,1106630
2654,1107861
2654,1110438
2654,1116842
2654,1121867
2654,1123926
2654,1152075
2654,197783
2654,211906
2654,27250
2654,463825
2654,52784
2658,1115375
2658,1130676
2658,1130808
2658,1131607
2658,1132948
2658,1135899
2658,1140230
2658,230884
2658,236759
2658,282700
2658,395540
2658,578347
2658,696342
2658,696345
2658,696346
2658,751408
2658,99023
2663,1119671
2665,1105574
2665,1113035
2665,1115375
2665,1122704
2665,1130676
2665,1130808
2665,1131607
2665,1132486
2665,1132948
2665,1132968
2665,205192
2665,230884
2665,237489
2665,2658
2665,395540
2665,43639
2665,578306
2665,578309
2665,578337
2665,578347
2665,582139
2665,630817
2665,631052
2665,696345
2665,696346
2665,751408
2665,763009
2665,99023
2695,1108169
2695,1120197
2695,2698
2695,342802
2696,1108050
2696,1108169
2696,1113035
2696,1114192
2696,1118083
2696,1120858
2696,1123239
2696,1133004
2696,160705
2696,256106
2696,2695
2696,2698
2696,342802
2696,469504
2696,5348
2696,5869
2696,99025
2698,1114192
2698,256106
2698,2695
2698,342802
2698,99025
3187,1110000
3187,129896
3187,129897
3187,280876
3187,5086
3191,105865
3191,1106789
3191,1127530
3191,1131267
3191,129896
3191,129897
3191,137873
3191,162664
3191,308920
3191,310742
3191,3192
3191,423463
3191,5086
3191,561364
3191,642827
3192,105865
3192,129896
3192,310742
3192,3191
3192,423463
3192,5086
3192,561364
3192,642827
3217,1000012
3217,167670
3217,238099
3217,65653
3218,1106492
3218,1110426
3218,1119987
3218,1120169
3218,1152290
3218,1153264
3218,187354
3218,277263
3218,35070
3218,417017
3218,49843
3218,6639
3218,66782
3218,6767
3218,6941
3220,1115677
3220,1125992
3220,1128430
3220,1130634
3220,1131728
3220,1132706
3220,120039
3220,145215
3220,167670
3220,346243
3220,36620
3220,39124
3220,40922
3220,429805
3220,654177
3220,69397
3220,8832
3222,1103737
3222,1114222
3222,1131137
3222,1132157
3222,167656
3222,964248
3223,1132157
3223,1153101
3223,1153150
3223,167656
3223,167670
3229,100197
3229,1106568
3229,1108209
3229,1108834
3229,1112767
3229,1125082
3229,1126037
3229,1128839
3229,1128868
3229,1130915
3229,1130927
3229,1130931
3229,1131647
3229,1131748
3229,1132418
3229,1140289
3229,1152277
3229,1152673
3229,1154169
3229,1154251
3229,118559
3229,157401
3229,189577
3229,23502
3229,25181
3229,25184
3229,27174
3229,31769
3229,33412
3229,35922
3229,390922
3229,396412
3229,444191
3229,447250
3229,48550
3229,49482
3229,52515
3229,62347
3229,641976
3229,654326
3229,7022
3229,83826
3229,90888
3229,919885
3229,92065
3229,948299
3229,949511
3229,96335
3231,104840
3231,1102761
3231,1106330
3231,1106370
3231,1107067
3231,1113926
3231,1115471
3231,1128536
3231,1131471
3231,1153169
3231,167670
3231,180399
3231,200480
3231,20850
3231,25184
3231,259126
3231,3237
3231,328370
3231,39124
3231,39126
3231,46431
3231,49660
3231,6334
3231,63477
3231,63486
3231,636098
3231,66594
3231,68463
3231,8699
3231,8821
3232,1106330
3232,1123068
3232,1128536
3232,20850
3232,20942
3232,521251
3232,66594
3233,1103737
3233,1114222
3233,1125467
3233,192850
3233,1997
3233,272720
3233,509379
3233,66594
3235,1114222
3235,65653
3236,1125467
3236,167670
3236,3233
3236,3237
3236,601561
3237,964248
3240,1131137
3240,3233
3240,36620
3240,39130
3240,964248
3243,1103610
3243,1104055
3243,1110947
3243,307336
3243,30895
3243,30901
3243,31932
3243,350362
