source,target,weight
1,1,1
1,1,1
1,1,1
3,3,1
1,1,1
5,5,1
1,1,1
1,1,1
6,6,1
3,3,1
1,1,1
1,1,1
6,6,1
1,1,1
3,3,1
1,1,1
10,9,1
11,10,1
3,3,1
3,3,1
12,11,1
1,1,1
13,12,1
12,11,1
1,1,1
12,11,1
3,3,1
11,10,1
21,20,1
22,21,1
3,3,1
17,22,1
11,10,1
12,11,1
25,25,1
3,3,1
26,26,1
27,27,1
11,10,1
12,11,1
28,28,1
29,29,1
11,10,1
30,30,1
31,31,1
28,28,1
28,28,1
16,22,1
3,3,1
33,33,1
16,22,1
3,3,1
1,1,1
3,3,1
34,34,1
16,22,1
35,35,1
3,3,1
36,36,1
3,3,1
16,22,1
3,3,1
27,27,1
16,22,1
12,11,1
28,28,1
16,22,1
1,1,1
31,31,1
34,34,1
3,3,1
19,33,1
31,31,1
27,27,1
31,31,1
1,1,1
3,3,1
38,33,1
3,3,1
16,22,1
16,22,1
12,11,1
1,1,1
16,22,1
3,3,1
16,22,1
3,3,1
39,38,1
3,3,1
1,1,1
16,22,1
41,39,1
42,40,1
43,41,1
1,1,1
28,28,1
16,22,1
44,42,1
12,11,1
42,40,1
16,22,1
34,34,1
3,3,1
45,22,1
16,22,1
3,3,1
3,3,1
16,22,1
16,22,1
3,3,1
6,6,1
3,3,1
46,43,1
16,22,1
3,3,1
16,22,1
16,22,1
3,3,1
1,1,1
6,6,1
3,3,1
3,3,1
1,1,1
12,11,1
3,3,1
1,1,1
3,3,1
47,44,1
3,3,1
16,22,1
3,3,1
49,46,1
16,22,1
47,44,1
3,3,1
1,1,1
3,3,1
16,22,1
1,1,1
12,11,1
51,48,1
52,22,1
3,3,1
51,48,1
53,49,1
16,22,1
55,51,1
3,3,1
1,1,1
16,22,1
3,3,1
3,3,1
16,22,1
56,52,1
16,22,1
16,22,1
47,44,1
16,22,1
58,53,1
1,1,1
16,22,1
1,1,1
3,3,1
3,3,1
1,1,1
59,54,1
3,3,1
1,1,1
59,54,1
61,56,1
1,1,1
59,54,1
61,56,1
61,56,1
1,1,1
22,58,1
59,54,1
1,1,1
62,59,1
1,1,1
63,13,1
59,54,1
3,3,1
65,61,1
66,62,1
3,3,1
1,1,1
1,1,1
67,9,1
68,22,1
69,63,1
56,52,1
59,54,1
62,59,1
62,59,1
1,1,1
71,54,1
59,54,1
3,3,1
62,59,1
59,54,1
59,54,1
1,1,1
59,54,1
1,1,1
72,65,1
1,1,1
3,3,1
1,1,1
3,3,1
1,1,1
73,67,1
1,1,1
3,3,1
73,39,1
75,69,1
73,70,1
73,7,1
75,69,1
59,54,1
3,3,1
34,34,1
75,69,1
1,1,1
34,34,1
76,62,1
59,54,1
1,1,1
77,58,1
78,18,1
3,3,1
75,69,1
1,1,1
77,58,1
3,3,1
80,71,1
1,1,1
77,58,1
59,54,1
75,69,1
59,54,1
1,1,1
59,54,1
59,54,1
3,3,1
3,3,1
59,54,1
3,3,1
1,1,1
56,52,1
3,3,1
3,3,1
3,3,1
75,69,1
50,72,1
59,54,1
81,29,1
82,34,1
75,69,1
59,54,1
83,73,1
83,73,1
59,54,1
84,34,1
75,69,1
84,34,1
75,69,1
1,1,1
85,74,1
50,72,1
75,69,1
86,61,1
77,58,1
75,69,1
87,75,1
81,29,1
75,69,1
88,76,1
81,29,1
88,76,1
75,69,1
50,72,1
65,61,1
75,69,1
65,61,1
81,29,1
89,77,1
90,78,1
88,76,1
91,33,1
75,69,1
76,62,1
81,29,1
59,54,1
91,33,1
75,69,1
75,69,1
59,54,1
88,76,1
86,61,1
75,69,1
90,78,1
75,69,1
88,76,1
3,3,1
90,78,1
75,69,1
88,76,1
94,81,1
90,78,1
81,29,1
90,78,1
75,69,1
95,66,1
95,66,1
22,82,1
76,62,1
90,78,1
75,69,1
66,62,1
96,83,1
90,78,1
66,62,1
75,69,1
88,76,1
97,84,1
59,54,1
98,85,1
3,3,1
88,76,1
95,66,1
66,62,1
98,85,1
95,66,1
88,76,1
75,69,1
59,54,1
3,3,1
90,78,1
3,3,1
75,69,1
3,3,1
3,3,1
88,76,1
3,3,1
75,69,1
3,3,1
66,62,1
68,81,1
59,54,1
3,3,1
75,69,1
96,83,1
88,76,1
59,54,1
75,69,1
75,69,1
3,3,1
100,87,1
101,88,1
88,76,1
101,88,1
3,3,1
88,76,1
59,54,1
3,3,1
3,3,1
88,76,1
3,3,1
88,76,1
59,54,1
3,3,1
50,72,1
88,76,1
3,3,1
88,76,1
50,72,1
3,3,1
88,76,1
3,3,1
103,89,1
104,90,1
104,90,1
88,76,1
100,87,1
88,76,1
105,91,1
75,69,1
88,76,1
59,54,1
106,75,1
75,69,1
88,76,1
107,92,1
3,3,1
88,76,1
3,3,1
75,69,1
75,69,1
108,94,1
3,3,1
107,92,1
3,3,1
88,76,1
109,25,1
3,3,1
75,69,1
75,69,1
3,3,1
106,75,1
88,76,1
3,3,1
110,75,1
3,3,1
111,95,1
104,90,1
111,95,1
3,3,1
3,3,1
88,76,1
75,69,1
108,94,1
106,75,1
59,54,1
76,62,1
76,62,1
75,69,1
75,69,1
112,70,1
106,75,1
75,69,1
88,76,1
75,69,1
106,75,1
113,62,1
75,69,1
88,76,1
3,3,1
3,3,1
88,76,1
88,76,1
88,76,1
3,3,1
115,98,1
3,3,1
116,56,1
88,76,1
76,62,1
117,99,1
76,62,1
117,99,1
88,76,1
106,75,1
118,100,1
3,3,1
88,76,1
78,101,1
78,101,1
106,75,1
88,76,1
85,74,1
78,101,1
3,3,1
27,27,1
116,56,1
27,27,1
88,76,1
117,99,1
6,6,1
67,94,1
27,27,1
88,76,1
88,76,1
88,76,1
118,100,1
88,76,1
50,72,1
120,34,1
88,76,1
121,70,1
3,3,1
118,100,1
12,11,1
50,72,1
123,104,1
118,100,1
59,54,1
88,76,1
125,98,1
123,104,1
67,68,1
88,76,1
126,106,1
66,62,1
66,62,1
12,11,1
3,3,1
127,107,1
72,108,1
128,75,1
3,3,1
116,56,1
